mean_fit_time;param_n_neighbors;mean_test_score
0.00242803573608;1;0.197368421053
0.00230483690898;2;0.190789473684
0.0023076693217;3;0.205043859649
0.00237157503764;4;0.189692982456
0.00217254638672;5;0.190789473684
0.00227067311605;6;0.202850877193
0.00224020957947;7;0.200657894737
0.0022084013621;8;0.209429824561
0.00260721842448;9;0.209429824561
0.00227708816528;10;0.198464912281
0.00298677762349;11;0.197368421053
0.00299645423889;12;0.196271929825
0.0023455842336;13;0.191885964912
0.00283327738444;14;0.201754385965
0.0027832253774;15;0.203947368421
0.0023403263092;16;0.202850877193
0.0026490243276;17;0.203947368421
0.00228352546692;18;0.203947368421
0.00229591051737;19;0.205043859649
0.00218673706055;20;0.205043859649
0.00315486272176;21;0.207236842105
0.00289500872294;22;0.207236842105
0.00308064460754;23;0.208333333333
0.002497326533;24;0.200657894737
0.00235164642334;25;0.200657894737
0.00230110486348;26;0.205043859649
0.00351808865865;27;0.210526315789
0.00335292816162;28;0.209429824561
0.00383940696716;29;0.211622807018
0.00388166427612;30;0.203947368421
0.00219247500102;31;0.207236842105
0.00221961657206;32;0.201754385965
0.00216461181641;33;0.200657894737
0.00218012809753;34;0.207236842105
0.0021587562561;35;0.199561403509
0.00217878659566;36;0.200657894737
0.00223243713379;37;0.203947368421
0.00218640009562;38;0.201754385965
0.00216207822164;39;0.209429824561
0.0022922261556;40;0.209429824561
0.00217724482218;41;0.209429824561
0.00220557848612;42;0.206140350877
0.00216483751933;43;0.205043859649
0.00221139907837;44;0.211622807018
0.00216863632202;45;0.211622807018
0.00218409220378;46;0.210526315789
0.00218026161194;47;0.211622807018
0.00218649864197;48;0.208333333333
0.0022056833903;49;0.208333333333
0.00221144676208;50;0.207236842105
