mean_fit_time;param_C;param_kernel;mean_test_score
0.491225385666;1e-07;linear;0.112938596491
0.487175607681;1e-06;linear;0.112938596491
0.527583312988;1e-05;linear;0.194078947368
0.434914064407;0.0001;linear;0.282894736842
0.577387809753;0.001;linear;0.270833333333
2.27156925201;0.01;linear;0.254385964912
14.3091367245;0.1;linear;0.25548245614
87.6255819321;1.0;linear;0.239035087719
746.640578318;10.0;linear;0.240131578947
6066.62625022;100.0;linear;0.232456140351
