mean_fit_time;param_max_depth;param_min_samples_split;param_min_samples_leaf;param_criterion;mean_test_score
0.0267199039459;1;2;1;entropy;0.169956140351
0.0226872444153;1;3;1;entropy;0.169956140351
0.0239103794098;1;4;1;entropy;0.169956140351
0.0236796855927;1;5;1;entropy;0.169956140351
0.0255106449127;1;6;1;entropy;0.169956140351
0.0282549381256;1;7;1;entropy;0.169956140351
0.0251881122589;1;8;1;entropy;0.169956140351
0.0245464801788;1;9;1;entropy;0.169956140351
0.0237283229828;1;10;1;entropy;0.169956140351
0.0240532398224;1;11;1;entropy;0.169956140351
0.0230397701263;1;12;1;entropy;0.169956140351
0.023033618927;1;13;1;entropy;0.169956140351
0.0228502750397;1;14;1;entropy;0.169956140351
0.0247505664825;1;15;1;entropy;0.169956140351
0.0232960224152;1;16;1;entropy;0.169956140351
0.0227099895477;1;2;2;entropy;0.169956140351
0.0224801063538;1;3;2;entropy;0.169956140351
0.026270866394;1;4;2;entropy;0.169956140351
0.0285439968109;1;5;2;entropy;0.169956140351
0.027677822113;1;6;2;entropy;0.169956140351
0.0373744010925;1;7;2;entropy;0.169956140351
0.0268266201019;1;8;2;entropy;0.169956140351
0.0243813991547;1;9;2;entropy;0.169956140351
0.0263844966888;1;10;2;entropy;0.169956140351
0.0252031803131;1;11;2;entropy;0.169956140351
0.0273916721344;1;12;2;entropy;0.169956140351
0.030855178833;1;13;2;entropy;0.169956140351
0.0313295841217;1;14;2;entropy;0.169956140351
0.0293031692505;1;15;2;entropy;0.169956140351
0.0295135498047;1;16;2;entropy;0.169956140351
0.0296226024628;1;2;3;entropy;0.169956140351
0.0301359176636;1;3;3;entropy;0.169956140351
0.029905128479;1;4;3;entropy;0.169956140351
0.0322021007538;1;5;3;entropy;0.169956140351
0.0297402858734;1;6;3;entropy;0.169956140351
0.0268122196198;1;7;3;entropy;0.169956140351
0.0292784690857;1;8;3;entropy;0.169956140351
0.0283423900604;1;9;3;entropy;0.169956140351
0.028227853775;1;10;3;entropy;0.169956140351
0.0268472671509;1;11;3;entropy;0.169956140351
0.0287308692932;1;12;3;entropy;0.169956140351
0.0259711742401;1;13;3;entropy;0.169956140351
0.0266987800598;1;14;3;entropy;0.169956140351
0.0289395332336;1;15;3;entropy;0.169956140351
