mean_fit_time;param_n_neighbors;mean_test_score
3.83319094181;1;0.18201754386
3.86940793991;2;0.200657894737
3.83909347057;3;0.191885964912
3.80828082561;4;0.197368421053
3.79252481461;5;0.199561403509
3.79257125854;6;0.213815789474
3.77866921425;7;0.217105263158
3.74578924179;8;0.205043859649
3.76605694294;9;0.200657894737
3.78287463188;10;0.196271929825
3.79164719582;11;0.206140350877
3.78069047928;12;0.203947368421
3.88898069859;13;0.194078947368
3.78069155216;14;0.194078947368
3.79952511787;15;0.197368421053
3.87880260944;16;0.197368421053
3.86233046055;17;0.186403508772
3.78973720074;18;0.195175438596
3.85997817516;19;0.178728070175
3.84676485062;20;0.196271929825
3.84832503796;21;0.191885964912
3.89203665257;22;0.19298245614
3.78295354843;23;0.191885964912
3.84160466194;24;0.194078947368
3.76467006207;25;0.200657894737
3.80129473209;26;0.196271929825
3.8956299305;27;0.197368421053
3.8234919548;28;0.196271929825
3.84204554558;29;0.197368421053
4.15830738544;30;0.198464912281
3.84522049427;31;0.197368421053
3.812479496;32;0.200657894737
3.90253014565;33;0.200657894737
3.81856987476;34;0.195175438596
3.90749752522;35;0.201754385965
3.80498211384;36;0.201754385965
3.82745931149;37;0.201754385965
3.91021511555;38;0.196271929825
3.84018645287;39;0.197368421053
3.82302229404;40;0.205043859649
3.84664480686;41;0.198464912281
3.8723897934;42;0.200657894737
3.83487317562;43;0.200657894737
3.80930497646;44;0.195175438596
3.86086184978;45;0.198464912281
3.8147670269;46;0.194078947368
3.8939876318;47;0.194078947368
3.80929279327;48;0.19298245614
3.84656441212;49;0.194078947368
3.76816453934;50;0.190789473684
